HOME,DRAW,AWAY,HASIL
1.36,4.75,8.5,H
3.75,3.75,1.85,A
1.9,3.75,3.75,A
2.15,3.6,3.1,A
6.5,4,1.5,A
1.36,4.5,9,A
3.1,3.25,2.3,D
3.8,3.3,1.95,A
1.25,5.5,12,H
1.53,4.33,5.5,H
2.3,3.4,3,D
2.15,3.5,3.2,H
4.33,3.4,1.85,H
1.4,4.75,7,H
3.4,3.5,2.05,D
1.33,5,9,H
1.75,4.2,4,D
7,4.2,1.45,A
2.5,3.5,2.62,A
1.83,3.6,4.2,D
1.22,6,13,A
4.33,3.8,1.72,H
2.55,3.4,2.62,H
3.5,3.75,2,H
1.14,8,11,D
3,3.5,2.1,H
1.4,4.33,9,H
6.5,4.75,1.36,A
1.45,4.5,5.25,H
1.45,4.33,5.5,H
1.33,5.5,7.5,H
2.8,3.3,2.3,H
1.72,3.8,4.5,H
2,3.6,3.5,H
2.25,3.5,3,D
3.1,3.5,2.2,H
1.5,4.5,5.75,H
1.72,3.75,4.5,H
1.95,3.75,3.5,D
2.3,3.6,2.8,A
2.05,3.6,3.4,D
4,3.75,1.83,A
1.75,3.75,4.33,D
2.05,3.6,3.4,H
1.28,6,8.5,H
2.7,3.8,2.3,H
2.7,3.6,2.37,H
4.33,4.2,1.66,A
2.75,3.75,2.3,D
1.6,4.2,5,D
8.5,6,1.28,A
2,3.6,3.5,A
1.5,4.33,6,H
2.1,3.5,3.3,H
2.4,3.3,2.87,A
1.57,4,5.75,A
1.36,4.75,8,H
3.4,3.5,2.05,D
1.33,4.75,10,H
1.28,5.75,9,H
1.5,4.33,6,H
3.4,3.75,2,D
6,4.33,1.5,A
2,3.6,3.25,A
1.3,5.5,9,H
2.15,3.5,2.9,D
4.75,3.8,1.7,D
1.36,4.75,6.5,D
1.57,4,4.75,D
3.8,3.8,1.75,D
2.37,3.3,2.87,A
2.7,3.4,2.5,A
2.5,3.3,2.75,H
1.6,4,5.5,H
1.83,3.6,4,H
1.6,4,5.25,H
2.15,3.4,3.25,D
1.45,4.33,6,H
7,4.75,1.4,A
2.1,3.75,3.1,H
2.1,3.8,3.1,H
2,3.6,3.4,A
1.18,8,11,H
3.6,3.6,1.95,H
1.4,4.75,7,H
3.5,3.8,1.95,A
4.2,3.3,1.9,D
1.9,3.4,4,H
1.4,4.5,7.5,H
1.75,4,4,H
1.16,7,15,H
1.45,4.2,6.5,D
6,4,1.55,D
3.4,3.5,2.05,A
2.8,3.6,2.3,D
1.85,4,3.6,A
3.25,3.4,2.2,A
1.95,3.6,3.6,D
1.75,4,4.2,A
1.2,6.5,11,H
5.75,4.5,1.45,A
2.75,3.6,2.37,D
4.33,3.6,1.8,H
